;Cantidad de personas;Año del censo;Partido;Sexo de nacimiento
241;660;2002;Rivadavia;Mujeres Residentes del campo
242;481;2002;Rojas;Mujeres Residentes del campo
243;496;2002;Roque Pérez;Mujeres Residentes del campo
244;441;2002;Saavedra;Mujeres Residentes del campo
245;1153;2002;Saladillo;Mujeres Residentes del campo
246;161;2002;Salliqueló;Mujeres Residentes del campo
247;372;2002;Salto;Mujeres Residentes del campo
248;393;2002;San Andrés de Giles;Mujeres Residentes del campo
249;389;2002;San Antonio de Areco;Mujeres Residentes del campo
250;345;2002;San Cayetano;Mujeres Residentes del campo
251;60;2002;San Fernando;Mujeres Residentes del campo
252;3;2002;San Isidro;Mujeres Residentes del campo
253;0;2002;San Miguel;Mujeres Residentes del campo
254;332;2002;San Nicolás;Mujeres Residentes del campo
255;888;2002;San Pedro;Mujeres Residentes del campo
256;262;2002;San Vicente;Mujeres Residentes del campo
257;386;2002;Suipacha;Mujeres Residentes del campo
258;1175;2002;Tandil;Mujeres Residentes del campo
259;202;2002;Tapalqué;Mujeres Residentes del campo
260;49;2002;Tigre;Mujeres Residentes del campo
261;152;2002;Tordillo;Mujeres Residentes del campo
262;582;2002;Tornquist;Mujeres Residentes del campo
263;1008;2002;Trenque Lauquen;Mujeres Residentes del campo
264;791;2002;Tres Arroyos;Mujeres Residentes del campo
265;0;2002;Tres de Febrero;Mujeres Residentes del campo
266;206;2002;Tres Lomas;Mujeres Residentes del campo
267;894;2002;25 de mayo;Mujeres Residentes del campo
268;1;2002;Vicente López;Mujeres Residentes del campo
269;0;2002;Villa Gesell;Mujeres Residentes del campo
270;1017;2002;Villarino;Mujeres Residentes del campo
271;315;2002;Zárate;Mujeres Residentes del campo
272;0;1988;Provincia de Buenos Aires;Mujeres Residentes del campo
273;0;1988;Adolfo Alsina;Mujeres Residentes del campo
274;0;1988;Adolfo Gonzales Chaves;Mujeres Residentes del campo
275;0;1988;Alberti;Mujeres Residentes del campo
276;0;1988;Almirante Brown;Mujeres Residentes del campo
277;0;1988;Arrecifes;Mujeres Residentes del campo
278;0;1988;Avellaneda;Mujeres Residentes del campo
279;0;1988;Ayacucho;Mujeres Residentes del campo
280;0;1988;Azul;Mujeres Residentes del campo
281;0;1988;Bahía Blanca;Mujeres Residentes del campo
282;0;1988;Balcarce;Mujeres Residentes del campo
283;0;1988;Baradero;Mujeres Residentes del campo
284;0;1988;Bartolomé Mitre;Mujeres Residentes del campo
285;0;1988;Benito Juárez;Mujeres Residentes del campo
286;0;1988;Berazategui;Mujeres Residentes del campo
287;0;1988;Berisso;Mujeres Residentes del campo
288;0;1988;Bolívar;Mujeres Residentes del campo
289;0;1988;Bragado;Mujeres Residentes del campo
290;0;1988;Brandsen;Mujeres Residentes del campo
291;0;1988;Campana;Mujeres Residentes del campo
292;0;1988;Cañuelas;Mujeres Residentes del campo
293;0;1988;Capitán Sarmiento;Mujeres Residentes del campo
294;0;1988;Carlos Casares;Mujeres Residentes del campo
295;0;1988;Carlos Tejedor;Mujeres Residentes del campo
296;0;1988;Carmen de Areco;Mujeres Residentes del campo
297;0;1988;Castelli;Mujeres Residentes del campo
298;0;1988;Chacabuco;Mujeres Residentes del campo
299;0;1988;Chascomús;Mujeres Residentes del campo
300;0;1988;Chivilcoy;Mujeres Residentes del campo
301;0;1988;Colón;Mujeres Residentes del campo
302;0;1988;Coronel de Marina Leonardo Rosales;Mujeres Residentes del campo
303;0;1988;Coronel Dorrego;Mujeres Residentes del campo
304;0;1988;Coronel Pringles;Mujeres Residentes del campo
305;0;1988;Coronel Suárez;Mujeres Residentes del campo
306;0;1988;Daireaux;Mujeres Residentes del campo
307;0;1988;Dolores;Mujeres Residentes del campo
308;0;1988;Ensenada;Mujeres Residentes del campo
309;0;1988;Escobar;Mujeres Residentes del campo
310;0;1988;Esteban Echeverría;Mujeres Residentes del campo
