Año del censo;Provincia;Código del partido;Partido;Total EAPS;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total de HA;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;HA sin limite definido;Superficie promedio;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;EAPS en manos de otros;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Superficie en Otras manos;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Cantidad Sin discriminar propietaries EAPS;Mujeres Residentes del campo;Varones Residentes del campo;Empleo;Total ha implantadas;Cantidad de hectáreas implantadas de Cereales;Maiz para grano por hectárea;Trigo pan por hectárea;Otros Cereales por hectareas;Cantidad de hectáreas implantadas de Oleaginosas;Soja por hectárea;Otras oleaginosas por hectareas;Cantidad de hectáreas implantadas de Forrajeras;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de ha para otras plantaciones;Cantidad de hectareas dedicadas a Bosques y montes naturales;Prácticas orgánicasbiodinámicas/agroecológicas_EAPs
2018;Buenos Aires;497;Luján;162;133;29;43605;13203;26505;3897;269;58;90;6;26046;8785;4877;19;71;0;238;332;205;28845;9224;5951;2111;1163;14723;14652;71;3215;1607;1608;1682;609;3
2018;Buenos Aires;505;Magdalena;321;261;60;132389;45774;70239;16377;412;70;240;14;60489;63311;8465;55;181;4;261;412;365;13512;2755;2392;108;255;1299;1299;0;9425;6865;2560;33;1125;0
2018;Buenos Aires;511;Maipú;240;119;121;218286;26683;183801;7802;910;57;169;13;95319;106556;15676;55;114;0;226;438;434;21431;6007;4234;1286;487;6634;4038;2596;8644;6697;1947;147;213;0
2018;Buenos Aires;515;Malvinas Argentinas;14;14;0;14;14;0;0;1;0;13;0;1;12;0;2;10;1;17;28;23;5;0;0;0;0;0;0;0;0;0;0;5;0;0
2018;Buenos Aires;518;Mar Chiquita;316;187;129;247427;37303;194965;15159;783;114;182;17;141297;77923;27672;45;135;2;295;534;715;80346;15438;11773;3042;623;17439;9113;8327;47416;13592;33824;53;631;0
2018;Buenos Aires;525;Marcos Paz;162;148;14;25135;13423;11712;0;155;22;127;12;5411;15957;3753;17;96;14;265;383;238;12063;3974;1456;1770;748;3943;3937;7;3945;2696;1249;201;42;3
2018;Buenos Aires;532;Mercedes;246;208;38;82116;25873;40946;15297;334;58;168;20;45497;34548;1439;31;134;3;238;431;358;35014;10350;6219;3666;465;14586;14586;0;9944;3452;6492;134;544;5
2018;Buenos Aires;539;Merlo;45;45;0;1896;388;0;1508;42;6;39;0;102;765;1028;2;35;2;37;220;122;1858;543;82;210;251;885;885;0;288;120;168;142;5;0
2018;Buenos Aires;547;Monte;193;139;54;130429;24954;69134;36342;676;55;130;10;72046;35833;22550;34;95;1;299;375;164;58520;20054;13164;6400;490;25174;23343;1831;13042;7779;5263;250;209;0
2018;Buenos Aires;553;Monte Hermoso;0;0;0;14178;0;688;13490;0;0;0;0;13490;688;0;0;1;0;14;12;16;836;0;0;0;0;0;0;0;836;816;20;0;12;0
2018;Buenos Aires;560;Moreno;52;52;0;1085;198;0;887;21;3;44;0;54;211;820;5;39;0;56;75;155;221;85;2;83;0;83;83;0;6;0;6;47;0;0
2018;Buenos Aires;568;Morón;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
2018;Buenos Aires;574;Navarro;274;205;69;120391;38097;77191;5103;439;78;187;9;59159;54326;6827;48;137;2;402;535;564;69057;19115;10669;7910;536;30743;30743;0;19199;10004;9195;0;224;0
2018;Buenos Aires;581;Necochea;359;196;163;342900;41639;267149;34111;955;102;234;19;154547;132747;41222;46;183;5;396;717;701;300738;116782;25837;40557;50388;138412;93747;44665;44793;19157;25636;751;344;25
2018;Buenos Aires;588;9 de julio;674;508;166;320229;88425;220830;10974;475;208;422;22;163505;129723;24498;105;309;8;495;1011;945;210290;67955;36345;28219;3392;106725;105414;1312;34211;14566;19645;1399;806;10
2018;Buenos Aires;595;Olavarría;644;372;272;662758;80172;558720;23865;1029;184;428;23;369239;228411;62574;95;325;8;585;1010;856;158570;36562;11711;15561;9290;48402;39638;8764;73193;40641;32552;413;472;0
2018;Buenos Aires;602;Patagones;755;270;485;1173839;70816;1103023;0;1555;90;642;8;326544;819043;25574;76;560;6;211;701;533;200007;51294;3403;31950;15941;4585;30;4555;141295;125866;15429;2833;312390;6
2018;Buenos Aires;609;Pehuajó;433;302;131;393074;56850;296026;40197;908;128;275;22;226912;86445;79241;61;209;5;270;717;854;226307;87171;45200;32946;9026;117939;111042;6897;20295;11748;8547;902;298;6
2018;Buenos Aires;616;Pellegrini;184;132;52;143079;25206;82602;35271;778;50;131;9;73022;55389;14422;31;96;4;147;289;369;117629;33817;26392;3657;3769;59846;40818;19028;23151;11841;11310;815;379;5
2018;Buenos Aires;623;Pergamino;611;506;105;206100;79013;117419;9668;337;184;404;12;110718;87984;5568;64;329;11;315;591;851;209090;60507;27820;26740;5946;131512;131512;0;12281;3432;8850;4790;437;5
2018;Buenos Aires;630;Pila;211;121;90;242441;22613;219819;10;1149;54;142;4;119858;66445;56139;36;103;3;437;816;526;18801;7010;5893;1048;69;4861;3932;929;6356;4254;2102;575;79;0
2018;Buenos Aires;638;Pilar;85;85;0;2282;1447;0;835;27;17;69;0;641;1640;2;8;60;1;97;216;243;752;115;80;35;0;443;443;0;37;0;37;157;48;0
2018;Buenos Aires;644;Pinamar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;648;Presidente Perón;20;20;0;985;629;0;356;49;0;21;0;6;979;0;4;14;3;26;39;12;75;0;0;0;0;0;0;0;65;30;35;10;0;0
2018;Buenos Aires;651;Puán;687;411;276;539090;105579;397102;36410;785;101;566;16;187270;330563;18136;94;464;8;336;612;518;187055;85476;3561;46496;35419;4621;2279;2342;96626;83958;12669;332;43387;4
2018;Buenos Aires;655;Punta Indio;211;122;89;146943;23794;108060;15088;696;35;147;10;33367;84473;28513;37;101;9;138;302;223;3424;78;78;0;0;0;0;0;3346;2413;933;0;1451;0
2018;Buenos Aires;658;Quilmes;0;0;0;97;43;0;54;0;0;3;0;0;92;0;1;2;0;7;7;4;2;0;0;0;0;0;0;0;0;0;0;2;5;0
2018;Buenos Aires;665;Ramallo;178;146;32;64709;21900;32791;10018;364;45;124;11;33599;26440;1926;10;113;1;39;170;239;74526;19781;8884;9435;1462;50320;50212;108;1200;324;876;3225;7;3
2018;Buenos Aires;672;Rauch;621;429;192;364028;81954;269522;12551;586;139;451;17;158853;165426;38630;118;331;2;381;740;645;38979;7235;5350;923;963;8244;4472;3772;23401;19014;4387;100;603;35
2018;Buenos Aires;679;Rivadavia;294;146;148;313383;32663;252160;28561;1066;112;166;11;183663;97246;22962;25;139;2;249;571;733;243404;81377;55792;20032;5553;129631;119427;10204;32131;17978;14153;265;86;0
2018;Buenos Aires;686;Rojas;414;327;87;176633;48658;104789;23186;427;83;305;17;89746;65325;18737;41;256;8;217;354;509;158916;58145;33371;22359;2415;89189;88860;329;10550;4307;6243;1033;245;0
2018;Buenos Aires;693;Roque Pérez;234;186;48;108460;26180;65548;16731;464;46;176;12;55921;42533;9849;33;142;1;179;294;487;44426;14540;9668;4610;263;24825;23585;1240;4989;1810;3178;73;540;0
2018;Buenos Aires;700;Saavedra;456;289;167;292240;69384;204652;18203;641;80;351;22;106178;156103;27652;50;298;3;241;425;505;168700;69445;10333;38116;20996;24452;17715;6737;74023;61644;12379;780;664;15
2018;Buenos Aires;707;Saladillo;564;489;75;170983;63748;107235;0;303;82;451;17;65708;78300;26933;88;351;12;380;603;424;65848;19666;16737;2687;242;31755;30752;1003;14198;8241;5957;229;1380;11
2018;Buenos Aires;721;Salliqueló;142;116;26;73989;21014;37677;15298;521;24;106;4;41529;26586;4599;17;87;2;30;108;177;57711;11426;9621;801;1004;26853;18540;8313;18680;11926;6754;752;137;0
2018;Buenos Aires;714;Salto;344;280;64;115353;34971;74882;5500;335;95;232;6;59348;49409;6491;37;193;2;106;244;351;127611;40481;19046;19758;1677;76220;76108;112;3511;2052;1459;7400;87;3
2018;Buenos Aires;728;San Andrés de Giles;134;108;26;47901;14603;29812;3486;357;52;78;5;33319;14232;346;11;65;2;91;171;185;70173;24136;11425;11405;1307;39244;39011;233;6615;983;5633;178;180;0
2018;Buenos Aires;735;San Antonio de Areco;133;88;45;77299;16002;55254;6044;581;53;69;9;34477;29944;12878;14;53;2;150;318;404;74720;29505;16116;12630;758;38796;38312;484;5843;1544;4299;577;34;0
2018;Buenos Aires;742;San Cayetano;278;147;131;246665;33807;191371;21487;887;61;190;9;104235;120508;16449;29;161;0;138;377;347;181916;79200;14393;30380;34428;74803;51185;23618;26378;12041;14337;1535;340;0
2018;Buenos Aires;749;San Fernando;67;57;10;25454;7783;6081;11590;380;4;50;0;8805;9672;6977;6;43;1;12;75;6;2373;0;0;0;0;0;0;0;140;140;0;2233;1663;0
