;Cantidad de EAPs;Año del censo;Partido;Tamaño EAPs
332;507.0;1988;Guaminí;Pequeñas (<=500 ha)
333;361.0;1988;Hipólito Yrigoyen;Pequeñas (<=500 ha)
334;0.0;1988;Hurlingham;Pequeñas (<=500 ha)
335;0.0;1988;Ituzaingó;Pequeñas (<=500 ha)
336;0.0;1988;José C, Paz;Pequeñas (<=500 ha)
337;1013.0;1988;Junín;Pequeñas (<=500 ha)
338;6.0;1988;La Costa;Pequeñas (<=500 ha)
339;166.0;1988;La Matanza;Pequeñas (<=500 ha)
340;0.0;1988;Lanús;Pequeñas (<=500 ha)
341;1191.0;1988;La Plata;Pequeñas (<=500 ha)
342;247.0;1988;Laprida;Pequeñas (<=500 ha)
343;631.0;1988;Las Flores;Pequeñas (<=500 ha)
344;435.0;1988;Leandro N, Alem;Pequeñas (<=500 ha)
345;0.0;1988;Lezama;Pequeñas (<=500 ha)
346;1311.0;1988;Lincoln;Pequeñas (<=500 ha)
347;752.0;1988;Lobería;Pequeñas (<=500 ha)
348;929.0;1988;Lobos;Pequeñas (<=500 ha)
349;0.0;1988;Lomas de Zamora;Pequeñas (<=500 ha)
350;414.0;1988;Luján;Pequeñas (<=500 ha)
351;875.0;1988;Magdalena;Pequeñas (<=500 ha)
352;184.0;1988;Maipú;Pequeñas (<=500 ha)
353;0.0;1988;Malvinas Argentinas;Pequeñas (<=500 ha)
354;354.0;1988;Mar Chiquita;Pequeñas (<=500 ha)
355;334.0;1988;Marcos Paz;Pequeñas (<=500 ha)
356;643.0;1988;Mercedes;Pequeñas (<=500 ha)
357;157.0;1988;Merlo;Pequeñas (<=500 ha)
358;330.0;1988;Monte;Pequeñas (<=500 ha)
359;0.0;1988;Monte Hermoso;Pequeñas (<=500 ha)
360;169.0;1988;Moreno;Pequeñas (<=500 ha)
361;0.0;1988;Morón;Pequeñas (<=500 ha)
362;571.0;1988;Navarro;Pequeñas (<=500 ha)
363;483.0;1988;Necochea;Pequeñas (<=500 ha)
364;1270.0;1988;9 de julio;Pequeñas (<=500 ha)
365;801.0;1988;Olavarría;Pequeñas (<=500 ha)
366;496.0;1988;Patagones;Pequeñas (<=500 ha)
367;1082.0;1988;Pehuajó;Pequeñas (<=500 ha)
368;196.0;1988;Pellegrini;Pequeñas (<=500 ha)
369;1498.0;1988;Pergamino;Pequeñas (<=500 ha)
370;246.0;1988;Pila;Pequeñas (<=500 ha)
371;518.0;1988;Pilar;Pequeñas (<=500 ha)
372;0.0;1988;Pinamar;Pequeñas (<=500 ha)
373;0.0;1988;Presidente Perón;Pequeñas (<=500 ha)
374;854.0;1988;Puán;Pequeñas (<=500 ha)
375;0.0;1988;Punta Indio;Pequeñas (<=500 ha)
376;0.0;1988;Quilmes;Pequeñas (<=500 ha)
377;465.0;1988;Ramallo;Pequeñas (<=500 ha)
378;774.0;1988;Rauch;Pequeñas (<=500 ha)
379;503.0;1988;Rivadavia;Pequeñas (<=500 ha)
380;868.0;1988;Rojas;Pequeñas (<=500 ha)
381;590.0;1988;Roque Pérez;Pequeñas (<=500 ha)
382;496.0;1988;Saavedra;Pequeñas (<=500 ha)
383;1205.0;1988;Saladillo;Pequeñas (<=500 ha)
384;244.0;1988;Salliqueló;Pequeñas (<=500 ha)
385;693.0;1988;Salto;Pequeñas (<=500 ha)
386;387.0;1988;San Andrés de Giles;Pequeñas (<=500 ha)
387;242.0;1988;San Antonio de Areco;Pequeñas (<=500 ha)
388;410.0;1988;San Cayetano;Pequeñas (<=500 ha)
389;145.0;1988;San Fernando;Pequeñas (<=500 ha)
390;7.0;1988;San Isidro;Pequeñas (<=500 ha)
391;0.0;1988;San Miguel;Pequeñas (<=500 ha)
392;434.0;1988;San Nicolás;Pequeñas (<=500 ha)
393;1056.0;1988;San Pedro;Pequeñas (<=500 ha)
394;253.0;1988;San Vicente;Pequeñas (<=500 ha)
395;333.0;1988;Suipacha;Pequeñas (<=500 ha)
396;822.0;1988;Tandil;Pequeñas (<=500 ha)
397;394.0;1988;Tapalqué;Pequeñas (<=500 ha)
398;135.0;1988;Tigre;Pequeñas (<=500 ha)
399;89.0;1988;Tordillo;Pequeñas (<=500 ha)
400;391.0;1988;Tornquist;Pequeñas (<=500 ha)
401;563.0;1988;Trenque Lauquen;Pequeñas (<=500 ha)
402;681.0;1988;Tres Arroyos;Pequeñas (<=500 ha)
403;5.0;1988;Tres de Febrero;Pequeñas (<=500 ha)
404;331.0;1988;Tres Lomas;Pequeñas (<=500 ha)
405;948.0;1988;25 de mayo;Pequeñas (<=500 ha)
406;0.0;1988;Vicente López;Pequeñas (<=500 ha)
407;0.0;1988;Villa Gesell;Pequeñas (<=500 ha)
408;982.0;1988;Villarino;Pequeñas (<=500 ha)
409;492.0;1988;Zárate;Pequeñas (<=500 ha)
410;0.0;1988;Indeterminado;Pequeñas (<=500 ha)
0;11181.0;2018;Buenos Aires;Grandes (>500 ha)
1;208.0;2018;Adolfo Alsina;Grandes (>500 ha)
2;150.0;2018;Adolfo Gonzales Chaves;Grandes (>500 ha)
3;26.0;2018;Alberti;Grandes (>500 ha)
4;0.0;2018;Almirante Brown;Grandes (>500 ha)
5;50.0;2018;Arrecifes;Grandes (>500 ha)
6;0.0;2018;Avellaneda;Grandes (>500 ha)
7;281.0;2018;Ayacucho;Grandes (>500 ha)
8;257.0;2018;Azul;Grandes (>500 ha)
9;100.0;2018;Bahía Blanca;Grandes (>500 ha)
10;155.0;2018;Balcarce;Grandes (>500 ha)
11;56.0;2018;Baradero;Grandes (>500 ha)
12;237.0;2018;Benito Juárez;Grandes (>500 ha)
13;0.0;2018;Berazategui;Grandes (>500 ha)
14;0.0;2018;Berisso;Grandes (>500 ha)
15;178.0;2018;Bolívar;Grandes (>500 ha)
16;78.0;2018;Bragado;Grandes (>500 ha)
17;36.0;2018;Brandsen;Grandes (>500 ha)
18;16.0;2018;Campana;Grandes (>500 ha)
19;37.0;2018;Cañuelas;Grandes (>500 ha)
20;15.0;2018;Capitán Sarmiento;Grandes (>500 ha)
21;57.0;2018;Carlos Casares;Grandes (>500 ha)
22;125.0;2018;Carlos Tejedor;Grandes (>500 ha)
23;43.0;2018;Carmen de Areco;Grandes (>500 ha)
24;73.0;2018;Castelli;Grandes (>500 ha)
25;66.0;2018;Chacabuco;Grandes (>500 ha)
26;154.0;2018;Chascomús;Grandes (>500 ha)
27;57.0;2018;Chivilcoy;Grandes (>500 ha)
28;29.0;2018;Colón;Grandes (>500 ha)
29;35.0;2018;Coronel de Marina Leonardo Rosales;Grandes (>500 ha)
30;197.0;2018;Coronel Dorrego;Grandes (>500 ha)
31;213.0;2018;Coronel Pringles;Grandes (>500 ha)
32;257.0;2018;Coronel Suárez;Grandes (>500 ha)
33;142.0;2018;Daireaux;Grandes (>500 ha)
34;57.0;2018;Dolores;Grandes (>500 ha)
35;0.0;2018;Ensenada;Grandes (>500 ha)
36;0.0;2018;Escobar;Grandes (>500 ha)
37;0.0;2018;Esteban Echeverría;Grandes (>500 ha)
38;18.0;2018;Exaltación de la Cruz;Grandes (>500 ha)
39;0.0;2018;Ezeiza;Grandes (>500 ha)
40;0.0;2018;Florencio Varela;Grandes (>500 ha)
