Column1;Año del censo;Partido;Cultivo;Total
411;2018;Buenos Aires;Oleaginosas;4510441,6
412;2018;Adolfo Alsina;Oleaginosas;54835,3
413;2018;Adolfo Gonzales Chaves;Oleaginosas;64575,2
414;2018;Alberti;Oleaginosas;34435
415;2018;Almirante Brown;Oleaginosas;28
416;2018;Arrecifes;Oleaginosas;65302,6
417;2018;Avellaneda;Oleaginosas;0
418;2018;Ayacucho;Oleaginosas;29789,6
419;2018;Azul;Oleaginosas;78887,8
420;2018;Bahía Blanca;Oleaginosas;30
421;2018;Balcarce;Oleaginosas;71986,8
422;2018;Baradero;Oleaginosas;45425,2
423;2018;Benito Juárez;Oleaginosas;59038,5
424;2018;Berazategui;Oleaginosas;60
425;2018;Berisso;Oleaginosas;0
426;2018;Bolívar;Oleaginosas;74508,2
427;2018;Bragado;Oleaginosas;59096,3
428;2018;Brandsen;Oleaginosas;190
429;2018;Campana;Oleaginosas;3532,8
430;2018;Cañuelas;Oleaginosas;3857
431;2018;Capitán Sarmiento;Oleaginosas;23419,6
432;2018;Carlos Casares;Oleaginosas;44556,2
433;2018;Carlos Tejedor;Oleaginosas;67758,5
434;2018;Carmen de Areco;Oleaginosas;26553,7
435;2018;Castelli;Oleaginosas;5741
436;2018;Chacabuco;Oleaginosas;75371,1
437;2018;Chascomús;Oleaginosas;14442,5
438;2018;Chivilcoy;Oleaginosas;60034,2
439;2018;Colón;Oleaginosas;37396,1
440;2018;Coronel de Marina Leonardo Rosales;Oleaginosas;0
441;2018;Coronel Dorrego;Oleaginosas;66711
442;2018;Coronel Pringles;Oleaginosas;48781,7
443;2018;Coronel Suárez;Oleaginosas;105886,9
444;2018;Daireaux;Oleaginosas;71764,6
445;2018;Dolores;Oleaginosas;6
446;2018;Ensenada;Oleaginosas;0
447;2018;Escobar;Oleaginosas;175
448;2018;Esteban Echeverría;Oleaginosas;0
449;2018;Exaltación de la Cruz;Oleaginosas;18162,4
450;2018;Ezeiza;Oleaginosas;352
451;2018;Florencio Varela;Oleaginosas;200
452;2018;Florentino Ameghino;Oleaginosas;40609,5
453;2018;General Alvarado;Oleaginosas;53607,1
454;2018;General Alvear;Oleaginosas;14635,5
455;2018;General Arenales;Oleaginosas;51105,2
456;2018;General Belgrano;Oleaginosas;20347,1
457;2018;General Guido;Oleaginosas;3697
458;2018;General Juan Madariaga;Oleaginosas;14810,8
459;2018;General La Madrid;Oleaginosas;44686,7
460;2018;General Las Heras;Oleaginosas;1667,5
461;2018;General Lavalle;Oleaginosas;800
462;2018;General Paz;Oleaginosas;2986,7
463;2018;General Pinto;Oleaginosas;57491
464;2018;General Pueyrredón;Oleaginosas;26958,5
