Año del censo;Provincia;Código del partido;Partido;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total EAPS;Total de HA;Superficie promedio;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Mujeres Residentes (Personas Humanas);Mujeres Residente (Empresas);Mujeres Residentes del campo;Varones Residentes (Personas Humanas);Varones Residentes (Empresas);Varones Residentes del campo;Cantidad de hectáreas implantadas de Cereales;Cantidad de hectáreas implantadas de Oleaginosas;Cantidad de hectáreas implantadas de Forrajeras;Maiz para grano por hectárea;Trigo pan por hectárea;Soja por hectárea;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de hectareas dedicadas a Bosques y montes naturales;Proporcion de ha para bosques naturales e implantados respecto al total;Empleo;Prácticas orgánicasbiodinámicas/agroecológicas
2018;Provincia de Buenos Aires;560;Moreno;52;0;52;1085;21;198;0;3;44;54;211;5;39;51;5;56;73;4;77;85;83;6;2;83;83;0;6;0;0;155;0
2018;Provincia de Buenos Aires;568;Morón;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Provincia de Buenos Aires;574;Navarro;205;69;274;120391;439;38097;77191;78;187;59159;54326;48;137;305;97;402;367;169;536;19115;30743;19199;"10669,1";7910;"30743,2";10004;"9195,3";"224,1";"0,19%";564;0
2018;Provincia de Buenos Aires;581;Necochea;196;163;359;342900;955;41639;267149;102;234;154547;132747;46;183;237;160;397;430;289;719;116782;138412;44793;"25837,4";"40557,1";"93747,4";"19157,1";"25635,9";"343,6";"0,10%";705;25
2018;Provincia de Buenos Aires;588;9 de julio;508;166;674;320229;475;88425;220830;208;422;163505;129723;105;309;331;165;496;578;433;1011;67955;106725;34211;"36344,8";"28218,8";"105413,9";"14565,5";19645;"805,5";"0,25%";951;10
2018;Provincia de Buenos Aires;595;Olavarría;372;272;644;662758;1029;80172;558720;184;428;369239;228411;95;325;288;298;586;428;587;1015;36562;48402;73193;11711;15561;"39638,4";40641;"32552,4";472;"0,07%";858;0
2018;Provincia de Buenos Aires;602;Patagones;270;485;755;1173839;1555;70816;1103023;90;642;326544;819043;76;560;173;42;215;544;169;713;51294;4585;141295;3403;31950;30;125866;15429;"312390,2";"26,61%";535;6
2018;Provincia de Buenos Aires;609;Pehuajó;302;131;433;393074;908;56850;296026;128;275;226912;86445;61;209;96;178;274;206;514;720;87171;117939;20295;"45199,5";"32945,9";"111041,7";11748;"8546,7";298;"0,08%";858;6
2018;Provincia de Buenos Aires;616;Pellegrini;132;52;184;143079;778;25206;82602;50;131;73022;55389;31;96;65;82;147;121;168;289;33817;59846;23151;"26391,5";"3656,5";40818;11841;11310;379;"0,26%";372;5
2018;Provincia de Buenos Aires;623;Pergamino;506;105;611;206100;337;79013;117419;184;404;110718;87984;64;329;124;192;316;317;275;592;60507;131512;12281;"27820,2";"26740,4";"131512,2";"3431,6";"8849,6";"436,5";"0,21%";854;5
2018;Provincia de Buenos Aires;630;Pila;121;90;211;242441;1149;22613;219819;54;142;119858;66445;36;103;300;139;439;595;222;817;7010;4861;6356;"5892,5";1048;3932;"4253,5";"2102,4";79;"0,03%";541;0
2018;Provincia de Buenos Aires;638;Pilar;85;0;85;2282;27;1447;0;17;69;641;1640;8;60;88;9;97;157;59;216;115;443;37;80;35;443;0;37;48;"2,10%";243;0
2018;Provincia de Buenos Aires;644;Pinamar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Provincia de Buenos Aires;648;Presidente Perón;20;0;20;985;49;629;0;0;21;6;979;4;14;26;0;26;40;0;40;0;0;65;0;0;0;30;35;0;0;12;0
2018;Provincia de Buenos Aires;651;Puán;411;276;687;539090;785;105579;397102;101;566;187270;330563;94;464;284;56;340;477;138;615;85476;4621;96626;3561;46496;2279;"83957,7";"12668,5";"43386,5";"8,05%";518;4
2018;Provincia de Buenos Aires;655;Punta Indio;122;89;211;146943;696;23794;108060;35;147;33367;84473;37;101;99;40;139;218;84;302;78;0;3346;78;0;0;2413;933;"1451,2";"0,99%";225;0
2018;Provincia de Buenos Aires;658;Quilmes;0;0;0;97;0;43;0;0;3;0;92;1;2;4;3;7;7;1;8;0;0;0;0;0;0;0;0;5;"5,18%";4;0
2018;Provincia de Buenos Aires;665;Ramallo;146;32;178;64709;364;21900;32791;45;124;33599;26440;10;113;31;8;39;110;61;171;19781;50320;1200;"8883,9";"9434,9";"50212,2";324;876;7;"0,01%";242;3
