;Cantidad de EAPs;Año del censo;Partido;Sexo
204;0.0;2002;Laprida;Mujeres propietarias
205;0.0;2002;Las Flores;Mujeres propietarias
206;0.0;2002;Leandro N, Alem;Mujeres propietarias
207;0.0;2002;Lezama;Mujeres propietarias
208;0.0;2002;Lincoln;Mujeres propietarias
209;0.0;2002;Lobería;Mujeres propietarias
210;0.0;2002;Lobos;Mujeres propietarias
211;0.0;2002;Lomas de Zamora;Mujeres propietarias
212;0.0;2002;Luján;Mujeres propietarias
213;0.0;2002;Magdalena;Mujeres propietarias
214;0.0;2002;Maipú;Mujeres propietarias
215;0.0;2002;Malvinas Argentinas;Mujeres propietarias
216;0.0;2002;Mar Chiquita;Mujeres propietarias
217;0.0;2002;Marcos Paz;Mujeres propietarias
218;0.0;2002;Mercedes;Mujeres propietarias
219;0.0;2002;Merlo;Mujeres propietarias
220;0.0;2002;Monte;Mujeres propietarias
221;0.0;2002;Monte Hermoso;Mujeres propietarias
222;0.0;2002;Moreno;Mujeres propietarias
223;0.0;2002;Morón;Mujeres propietarias
224;0.0;2002;Navarro;Mujeres propietarias
225;0.0;2002;Necochea;Mujeres propietarias
226;0.0;2002;9 de julio;Mujeres propietarias
227;0.0;2002;Olavarría;Mujeres propietarias
228;0.0;2002;Patagones;Mujeres propietarias
229;0.0;2002;Pehuajó;Mujeres propietarias
230;0.0;2002;Pellegrini;Mujeres propietarias
231;0.0;2002;Pergamino;Mujeres propietarias
232;0.0;2002;Pila;Mujeres propietarias
233;0.0;2002;Pilar;Mujeres propietarias
234;0.0;2002;Pinamar;Mujeres propietarias
235;0.0;2002;Presidente Perón;Mujeres propietarias
236;0.0;2002;Puán;Mujeres propietarias
237;0.0;2002;Punta Indio;Mujeres propietarias
238;0.0;2002;Quilmes;Mujeres propietarias
239;0.0;2002;Ramallo;Mujeres propietarias
240;0.0;2002;Rauch;Mujeres propietarias
241;0.0;2002;Rivadavia;Mujeres propietarias
242;0.0;2002;Rojas;Mujeres propietarias
243;0.0;2002;Roque Pérez;Mujeres propietarias
244;0.0;2002;Saavedra;Mujeres propietarias
245;0.0;2002;Saladillo;Mujeres propietarias
246;0.0;2002;Salliqueló;Mujeres propietarias
247;0.0;2002;Salto;Mujeres propietarias
248;0.0;2002;San Andrés de Giles;Mujeres propietarias
249;0.0;2002;San Antonio de Areco;Mujeres propietarias
250;0.0;2002;San Cayetano;Mujeres propietarias
251;0.0;2002;San Fernando;Mujeres propietarias
252;0.0;2002;San Isidro;Mujeres propietarias
253;0.0;2002;San Miguel;Mujeres propietarias
254;0.0;2002;San Nicolás;Mujeres propietarias
255;0.0;2002;San Pedro;Mujeres propietarias
256;0.0;2002;San Vicente;Mujeres propietarias
257;0.0;2002;Suipacha;Mujeres propietarias
258;0.0;2002;Tandil;Mujeres propietarias
259;0.0;2002;Tapalqué;Mujeres propietarias
260;0.0;2002;Tigre;Mujeres propietarias
261;0.0;2002;Tordillo;Mujeres propietarias
262;0.0;2002;Tornquist;Mujeres propietarias
263;0.0;2002;Trenque Lauquen;Mujeres propietarias
264;0.0;2002;Tres Arroyos;Mujeres propietarias
265;0.0;2002;Tres de Febrero;Mujeres propietarias
266;0.0;2002;Tres Lomas;Mujeres propietarias
267;0.0;2002;25 de mayo;Mujeres propietarias
268;0.0;2002;Vicente López;Mujeres propietarias
269;0.0;2002;Villa Gesell;Mujeres propietarias
270;0.0;2002;Villarino;Mujeres propietarias
271;0.0;2002;Zárate;Mujeres propietarias
272;0.0;1988;Provincia de Buenos Aires;Mujeres propietarias
273;0.0;1988;Adolfo Alsina;Mujeres propietarias
274;0.0;1988;Adolfo Gonzales Chaves;Mujeres propietarias
275;0.0;1988;Alberti;Mujeres propietarias
276;0.0;1988;Almirante Brown;Mujeres propietarias
277;0.0;1988;Arrecifes;Mujeres propietarias
278;0.0;1988;Avellaneda;Mujeres propietarias
279;0.0;1988;Ayacucho;Mujeres propietarias
280;0.0;1988;Azul;Mujeres propietarias
281;0.0;1988;Bahía Blanca;Mujeres propietarias
282;0.0;1988;Balcarce;Mujeres propietarias
283;0.0;1988;Baradero;Mujeres propietarias
284;0.0;1988;Bartolomé Mitre;Mujeres propietarias
285;0.0;1988;Benito Juárez;Mujeres propietarias
286;0.0;1988;Berazategui;Mujeres propietarias
287;0.0;1988;Berisso;Mujeres propietarias
288;0.0;1988;Bolívar;Mujeres propietarias
289;0.0;1988;Bragado;Mujeres propietarias
290;0.0;1988;Brandsen;Mujeres propietarias
291;0.0;1988;Campana;Mujeres propietarias
292;0.0;1988;Cañuelas;Mujeres propietarias
293;0.0;1988;Capitán Sarmiento;Mujeres propietarias
294;0.0;1988;Carlos Casares;Mujeres propietarias
295;0.0;1988;Carlos Tejedor;Mujeres propietarias
296;0.0;1988;Carmen de Areco;Mujeres propietarias
297;0.0;1988;Castelli;Mujeres propietarias
298;0.0;1988;Chacabuco;Mujeres propietarias
299;0.0;1988;Chascomús;Mujeres propietarias
300;0.0;1988;Chivilcoy;Mujeres propietarias
301;0.0;1988;Colón;Mujeres propietarias
302;0.0;1988;Coronel de Marina Leonardo Rosales;Mujeres propietarias
303;0.0;1988;Coronel Dorrego;Mujeres propietarias
