;HA de EAPs;Año del censo;Partido;Tamaño EAPs
304;126201.0;1988;Coronel Pringles;Pequeñas (<=500 ha)
305;111481.0;1988;Coronel Suárez;Pequeñas (<=500 ha)
306;151319.0;1988;Daireaux;Pequeñas (<=500 ha)
307;89471.0;1988;Dolores;Pequeñas (<=500 ha)
308;47153.0;1988;Ensenada;Pequeñas (<=500 ha)
309;1345.0;1988;Escobar;Pequeñas (<=500 ha)
310;6903.0;1988;Esteban Echeverría;Pequeñas (<=500 ha)
311;8075.0;1988;Exaltación de la Cruz;Pequeñas (<=500 ha)
312;33096.0;1988;Ezeiza;Pequeñas (<=500 ha)
313;0.0;1988;Florencio Varela;Pequeñas (<=500 ha)
314;8053.0;1988;Florentino Ameghino;Pequeñas (<=500 ha)
315;0.0;1988;General Alvarado;Pequeñas (<=500 ha)
316;45463.0;1988;General Alvear;Pequeñas (<=500 ha)
317;55275.0;1988;General Arenales;Pequeñas (<=500 ha)
318;57447.0;1988;General Belgrano;Pequeñas (<=500 ha)
319;35007.0;1988;General Guido;Pequeñas (<=500 ha)
320;57174.0;1988;General Juan Madariaga;Pequeñas (<=500 ha)
321;51345.0;1988;General La Madrid;Pequeñas (<=500 ha)
322;76777.0;1988;General Las Heras;Pequeñas (<=500 ha)
323;42094.0;1988;General Lavalle;Pequeñas (<=500 ha)
324;25889.0;1988;General Paz;Pequeñas (<=500 ha)
325;58363.0;1988;General Pinto;Pequeñas (<=500 ha)
326;78854.0;1988;General Pueyrredón;Pequeñas (<=500 ha)
327;45128.0;1988;General Rodríguez;Pequeñas (<=500 ha)
328;15889.0;1988;General San Martín;Pequeñas (<=500 ha)
329;0.0;1988;General Sarmiento;Pequeñas (<=500 ha)
330;85751.0;1988;General Viamonte;Pequeñas (<=500 ha)
331;147873.0;1988;General Villegas;Pequeñas (<=500 ha)
332;90580.0;1988;Guaminí;Pequeñas (<=500 ha)
333;44612.0;1988;Hipólito Yrigoyen;Pequeñas (<=500 ha)
334;0.0;1988;Hurlingham;Pequeñas (<=500 ha)
335;0.0;1988;Ituzaingó;Pequeñas (<=500 ha)
336;0.0;1988;José C, Paz;Pequeñas (<=500 ha)
337;109026.0;1988;Junín;Pequeñas (<=500 ha)
338;1043.0;1988;La Costa;Pequeñas (<=500 ha)
339;2172.0;1988;La Matanza;Pequeñas (<=500 ha)
340;0.0;1988;Lanús;Pequeñas (<=500 ha)
341;29177.0;1988;La Plata;Pequeñas (<=500 ha)
342;57800.0;1988;Laprida;Pequeñas (<=500 ha)
343;92581.0;1988;Las Flores;Pequeñas (<=500 ha)
344;54199.0;1988;Leandro N, Alem;Pequeñas (<=500 ha)
345;0.0;1988;Lezama;Pequeñas (<=500 ha)
346;147929.0;1988;Lincoln;Pequeñas (<=500 ha)
347;112047.0;1988;Lobería;Pequeñas (<=500 ha)
348;82818.0;1988;Lobos;Pequeñas (<=500 ha)
349;0.0;1988;Lomas de Zamora;Pequeñas (<=500 ha)
350;34404.0;1988;Luján;Pequeñas (<=500 ha)
351;117594.0;1988;Magdalena;Pequeñas (<=500 ha)
