;HA de EAPs;Año del censo;Partido;Tipo forrajera
349;0;1988;Lomas de Zamora;2.Forrajeras anuales
350;3596;1988;Luján;2.Forrajeras anuales
351;10488;1988;Magdalena;2.Forrajeras anuales
352;4223;1988;Maipú;2.Forrajeras anuales
353;0;1988;Malvinas Argentinas;2.Forrajeras anuales
354;11744;1988;Mar Chiquita;2.Forrajeras anuales
355;3615;1988;Marcos Paz;2.Forrajeras anuales
356;4983;1988;Mercedes;2.Forrajeras anuales
357;28;1988;Merlo;2.Forrajeras anuales
358;5813;1988;Monte;2.Forrajeras anuales
359;70;1988;Monte Hermoso;2.Forrajeras anuales
360;15;1988;Moreno;2.Forrajeras anuales
361;0;1988;Morón;2.Forrajeras anuales
362;10284;1988;Navarro;2.Forrajeras anuales
363;20869;1988;Necochea;2.Forrajeras anuales
364;19608;1988;9 de julio;2.Forrajeras anuales
365;34684;1988;Olavarría;2.Forrajeras anuales
366;84035;1988;Patagones;2.Forrajeras anuales
367;15104;1988;Pehuajó;2.Forrajeras anuales
368;25309;1988;Pellegrini;2.Forrajeras anuales
369;4244;1988;Pergamino;2.Forrajeras anuales
370;3444;1988;Pila;2.Forrajeras anuales
371;1229;1988;Pilar;2.Forrajeras anuales
372;0;1988;Pinamar;2.Forrajeras anuales
373;0;1988;Presidente Perón;2.Forrajeras anuales
374;67333;1988;Puán;2.Forrajeras anuales
375;0;1988;Punta Indio;2.Forrajeras anuales
376;0;1988;Quilmes;2.Forrajeras anuales
377;840;1988;Ramallo;2.Forrajeras anuales
378;10445;1988;Rauch;2.Forrajeras anuales
379;57782;1988;Rivadavia;2.Forrajeras anuales
380;4931;1988;Rojas;2.Forrajeras anuales
381;3772;1988;Roque Pérez;2.Forrajeras anuales
382;48550;1988;Saavedra;2.Forrajeras anuales
383;3535;1988;Saladillo;2.Forrajeras anuales
384;33465;1988;Salliqueló;2.Forrajeras anuales
385;4032;1988;Salto;2.Forrajeras anuales
386;2026;1988;San Andrés de Giles;2.Forrajeras anuales
387;5924;1988;San Antonio de Areco;2.Forrajeras anuales
388;18758;1988;San Cayetano;2.Forrajeras anuales
389;0;1988;San Fernando;2.Forrajeras anuales
390;0;1988;San Isidro;2.Forrajeras anuales
391;0;1988;San Miguel;2.Forrajeras anuales
392;550;1988;San Nicolás;2.Forrajeras anuales
393;1902;1988;San Pedro;2.Forrajeras anuales
394;3013;1988;San Vicente;2.Forrajeras anuales
395;6336;1988;Suipacha;2.Forrajeras anuales
396;40690;1988;Tandil;2.Forrajeras anuales
397;4465;1988;Tapalqué;2.Forrajeras anuales
398;1;1988;Tigre;2.Forrajeras anuales
399;192;1988;Tordillo;2.Forrajeras anuales
400;60088;1988;Tornquist;2.Forrajeras anuales
401;47945;1988;Trenque Lauquen;2.Forrajeras anuales
402;40772;1988;Tres Arroyos;2.Forrajeras anuales
403;0;1988;Tres de Febrero;2.Forrajeras anuales
404;24241;1988;Tres Lomas;2.Forrajeras anuales
405;15682;1988;25 de mayo;2.Forrajeras anuales
406;0;1988;Vicente López;2.Forrajeras anuales
407;0;1988;Villa Gesell;2.Forrajeras anuales
408;97213;1988;Villarino;2.Forrajeras anuales
409;1487;1988;Zárate;2.Forrajeras anuales
410;848;1988;Indeterminado;2.Forrajeras anuales
0;1060391;2018;Provincia de Buenos Aires;1.Forrajeras perennes
1;24240;2018;Adolfo Alsina;1.Forrajeras perennes
2;10999;2018;Adolfo Gonzales Chaves;1.Forrajeras perennes
3;2014;2018;Alberti;1.Forrajeras perennes
4;0;2018;Almirante Brown;1.Forrajeras perennes
5;2553;2018;Arrecifes;1.Forrajeras perennes
6;0;2018;Avellaneda;1.Forrajeras perennes
7;26050;2018;Ayacucho;1.Forrajeras perennes
