;HA de EAPs;Año del censo;Partido;Tipo de Oleaginosa
36;0;2018;Escobar;2.Otras oleaginosas
37;0;2018;Esteban Echeverría;2.Otras oleaginosas
38;427;2018;Exaltación de la Cruz;2.Otras oleaginosas
39;0;2018;Ezeiza;2.Otras oleaginosas
40;0;2018;Florencio Varela;2.Otras oleaginosas
41;3759;2018;Florentino Ameghino;2.Otras oleaginosas
42;21148;2018;General Alvarado;2.Otras oleaginosas
43;3298;2018;General Alvear;2.Otras oleaginosas
44;0;2018;General Arenales;2.Otras oleaginosas
45;1672;2018;General Belgrano;2.Otras oleaginosas
46;760;2018;General Guido;2.Otras oleaginosas
47;5929;2018;General Juan Madariaga;2.Otras oleaginosas
48;19041;2018;General La Madrid;2.Otras oleaginosas
49;0;2018;General Las Heras;2.Otras oleaginosas
50;680;2018;General Lavalle;2.Otras oleaginosas
51;62;2018;General Paz;2.Otras oleaginosas
52;1926;2018;General Pinto;2.Otras oleaginosas
53;8356;2018;General Pueyrredón;2.Otras oleaginosas
54;0;2018;General Rodríguez;2.Otras oleaginosas
55;0;2018;General San Martín;2.Otras oleaginosas
56;0;2018;General Viamonte;2.Otras oleaginosas
57;2439;2018;General Villegas;2.Otras oleaginosas
58;21544;2018;Guaminí;2.Otras oleaginosas
59;3582;2018;Hipólito Yrigoyen;2.Otras oleaginosas
60;0;2018;Hurlingham;2.Otras oleaginosas
61;0;2018;Ituzaingó;2.Otras oleaginosas
62;0;2018;José C, Paz;2.Otras oleaginosas
63;0;2018;Junín;2.Otras oleaginosas
64;0;2018;La Costa;2.Otras oleaginosas
65;0;2018;La Matanza;2.Otras oleaginosas
66;0;2018;Lanús;2.Otras oleaginosas
67;0;2018;La Plata;2.Otras oleaginosas
68;1281;2018;Laprida;2.Otras oleaginosas
69;5234;2018;Las Flores;2.Otras oleaginosas
70;0;2018;Leandro N, Alem;2.Otras oleaginosas
71;1602;2018;Lezama;2.Otras oleaginosas
72;2918;2018;Lincoln;2.Otras oleaginosas
73;44398;2018;Lobería;2.Otras oleaginosas
74;1280;2018;Lobos;2.Otras oleaginosas
75;0;2018;Lomas de Zamora;2.Otras oleaginosas
76;71;2018;Luján;2.Otras oleaginosas
77;0;2018;Magdalena;2.Otras oleaginosas
78;2596;2018;Maipú;2.Otras oleaginosas
79;0;2018;Malvinas Argentinas;2.Otras oleaginosas
80;8327;2018;Mar Chiquita;2.Otras oleaginosas
81;7;2018;Marcos Paz;2.Otras oleaginosas
82;0;2018;Mercedes;2.Otras oleaginosas
83;0;2018;Merlo;2.Otras oleaginosas
84;1831;2018;Monte;2.Otras oleaginosas
85;0;2018;Monte Hermoso;2.Otras oleaginosas
86;0;2018;Moreno;2.Otras oleaginosas
87;0;2018;Morón;2.Otras oleaginosas
88;0;2018;Navarro;2.Otras oleaginosas
89;44665;2018;Necochea;2.Otras oleaginosas
90;1312;2018;9 de julio;2.Otras oleaginosas
