LOCALIDAD;TIPO DE ORDENANZA;FECHA;ORDENANZA;LINK;Crea un organismo municipal de certificacion agroecologica;Crea un registro de productores agroecologicos;Posee promocion de cursos, talleres y capacitaciones;Asesoramiento y ayuda;Bonificaciónes las tasas municipales de red vial/ exenciones impositivas.;Ser priorizado en la compra estatal local.;Que el Municipio promueva y difunda en medios oficiales sus producciones;Que se favorezcan sus procesos de organización y participación en ferias y mercados locales.;Facilitar , promover , articular , tramitar acciones, dialigo , certificaciones con la provincia y /o la nacion r..;Una participación prioritaria en eventos y exposiciones dentro del territorio Municipal- de carácter institucional, cultural, etc;Acceso a tierra / facilidades para terrenos;Facilitar acceso a creditos;Comprende producción ganadera;EL MUNICIPIO FORMA PARTE DE LA RENAMA;Puntaje - agroeco;Puntaje - agroeco NORMALIZADO
Pergamino;"FOMENTO A LA AGROECOLOGÍA /""ASAMBLEA PARA LA PROTECCIÓN DE LA VIDA (...)""";30/10/2019;N°9166/19;https://drive.google.com/file/d/1NU6RxFk4v994bNd0o6b61zS4T7WzYlXa/view?usp=sharing;SI;NO;NO;NO;SI;SI;SI;SI;SI;SI;NO;NO;NO;;7;0.4666666667
Pila;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Pilar;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Pinamar;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Presidente Perón;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Puán;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Punta Indio;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Quilmes;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Ramallo;FOMENTO A LA AGROECOLOGÍA;15/12/2016;N°5531/16;https://drive.google.com/file/d/1LMJ3HrDp3LLyMvMy4AnM221vy4vIdls7/view;NO;NO;SI;NO;SI (por 5 años);SI;SI;SI;NO;NO;NO;SI;NO;;5;0.3333333333
Rauch;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Rivadavia;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Rojas;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Roque Pérez;SIN ORDENANZA;;;;;;;;;;;;;;;;;SI;5;0.3333333333
Saavedra;SIN ORDENANZA;;;;;;;;;;;;;;;;;SI;5;0.3333333333
Saladillo;FOMENTO A LA AGROECOLOGÍA;23/10/2918;N°135/18;https://drive.google.com/file/d/1WRSnVIvldU7hvoGuyOvGUM6xdV6ANaZQ/view;SI (*);SI;SI;SI;SI* (hay exensión impositiva dependiente de las hectareas cultivadas);NO;NO;SI;NO;NO;NO;SI;SI;;6;0.4
